2021 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Chesterfield-Goshen,06320000,MATH,          25,39,           0,0,          25,39,          23,36,          16,25,          64,100,     489.9,          55.0,          27
Chesterfield-Goshen,06320000,SCI,           6,43,           0,0,           6,43,           7,50,           1,7,          14,100,     497.6,,
Chicopee,00610000,ELA,         968,31,         109,4,         859,28,"       1,406",45,         736,24,"       3,110",98,     489.0,          27.7,"       1,851"
Chicopee,00610000,MATH,         570,19,          31,1,         539,18,"       1,615",52,         893,29,"       3,078",97,     482.1,          22.6,"       1,827"
Chicopee,00610000,SCI,         234,30,          26,3,         208,26,         367,46,         190,24,         791,94,     488.1,,
Christa McAuliffe Charter Public (District),04180000,ELA,         164,42,          15,4,         149,38,         165,43,          59,15,         388,98,     494.6,          36.9,         352
Christa McAuliffe Charter Public (District),04180000,MATH,         120,31,          11,3,         109,28,         197,51,          71,18,         388,98,     488.7,          27.4,         353
Christa McAuliffe Charter Public (District),04180000,SCI,          44,46,           7,7,          37,39,          41,43,          10,11,          95,92,     497.9,,
Clarksburg,00630000,ELA,          67,48,           9,6,          58,41,          66,47,           7,5,         140,100,     499.2,          33.4,          89
Clarksburg,00630000,MATH,          32,23,           0,0,          32,23,          95,68,          13,9,         140,100,     487.4,          34.8,          89
Clarksburg,00630000,SCI,          12,25,           1,2,          11,23,          31,65,           5,10,          48,100,     489.9,,
Clinton,00640000,ELA,         290,35,          28,3,         262,31,         362,43,         184,22,         836,97,     489.7,          40.1,         508
Clinton,00640000,MATH,         154,18,          10,1,         144,17,         438,52,         245,29,         837,98,     480.9,          31.5,         508
Clinton,00640000,SCI,          77,28,           7,3,          70,26,         151,56,          43,16,         271,96,     488.9,,
Codman Academy Charter Public (District),04380000,ELA,          17,13,           0,0,          17,13,          74,58,          36,28,         127,98,     480.2,          32.5,          85
Codman Academy Charter Public (District),04380000,MATH,           6,5,           0,0,           6,5,          57,45,          63,50,         126,98,     469.4,          27.1,          84
Codman Academy Charter Public (District),04380000,SCI,           4,10,           0,0,           4,10,          22,56,          13,33,          39,100,     478.5,,
Cohasset,00650000,ELA,         455,70,          84,13,         371,57,         175,27,          17,3,         647,98,     509.7,          42.3,         418
Cohasset,00650000,MATH,         292,45,          11,2,         281,43,         310,48,          46,7,         648,98,     496.8,          30.0,         420
Cohasset,00650000,SCI,         113,57,          26,13,          87,44,          75,38,           9,5,         197,99,     504.9,,
Collegiate Charter School of Lowell (District),35030000,ELA,         285,44,          33,5,         252,38,         290,44,          80,12,         655,99,     495.2,          39.6,         384
Collegiate Charter School of Lowell (District),35030000,MATH,         140,21,          14,2,         126,19,         396,61,         116,18,         652,98,     486.8,          32.2,         380
Collegiate Charter School of Lowell (District),35030000,SCI,          56,34,           6,4,          50,30,          82,49,          28,17,         166,98,     490.8,,
Community Charter School of Cambridge (District),04360000,ELA,          62,46,           9,7,          53,40,          55,41,          17,13,         134,100,     498.0,          32.8,         123
Community Charter School of Cambridge (District),04360000,MATH,          46,34,           4,3,          42,31,          66,49,          23,17,         135,100,     490.2,          31.0,         123
Community Charter School of Cambridge (District),04360000,SCI,          12,32,           0,0,          12,32,          18,47,           8,21,          38,97,     489.2,,
Community Day Charter Public School - Gateway (District),04260000,ELA,         122,50,          24,10,          98,40,          87,36,          34,14,         243,100,     498.4,          26.3,         157
Community Day Charter Public School - Gateway (District),04260000,MATH,         103,43,           8,3,          95,39,          93,38,          46,19,         242,100,     491.6,          19.0,         156
Community Day Charter Public School - Gateway (District),04260000,SCI,          25,38,           3,5,          22,33,          27,41,          14,21,          66,100,     493.1,,
Community Day Charter Public School - Prospect (District),04400000,ELA,         125,47,          24,9,         101,38,         105,39,          38,14,         268,100,     498.0,          33.8,         168
Community Day Charter Public School - Prospect (District),04400000,MATH,         102,38,           7,3,          95,35,         135,50,          31,12,         268,100,     493.1,          24.6,         168
